transcript_id,SRR10416456-sorted,SRR10416457-sorted,SRR10416458-sorted,SRR10416459-sorted,SRR10416460-sorted,SRR10416461-sorted,SRR10416462-sorted,SRR10416463-sorted,SRR10416464-sorted,SRR10416465-sorted,SRR10416466-sorted,SRR10416467-sorted
MSTRG.64.1,49,3,675,148,7,11,0,92,360,478,508,318
MSTRG.65.1,207,2,0,345,155,29,75,312,226,856,654,673
MSTRG.66.1,629,1600,957,345,11,840,2174,649,1826,251,826,1073
MSTRG.70.1,1448,1300,51,552,11,184,4,124,301,973,42,1363
MSTRG.71.1,424,2590,0,7,7,30,31,21,277,364,1,69
MSTRG.72.1,7357,14857,4532,14289,37443,14072,23958,24480,3785,8841,19296,96143
MSTRG.85.1,488,35,193,339,42,215,2760,604,123,400,487,887
MSTRG.86.1,145,56,198,552,959,362,657,2122,591,1422,2443,3777
MSTRG.87.1,448,95,598,168,47,5,1434,263,509,1149,289,693
MSTRG.89.1,19,0,0,28,186,0,23,44,328,68,131,158
MSTRG.74.1,0,0,0,0,64,0,0,0,142,240,0,33
MSTRG.82.1,0,0,0,0,0,0,0,0,0,0,0,33
MSTRG.73.1,3087,2027,90,1504,82,2181,4,837,3670,5073,474,1715
MSTRG.75.1,119,0,0,6,0,0,0,0,0,0,1,2
MSTRG.77.1,71,0,0,121,80,0,0,0,42,147,0,219
MSTRG.77.2,362,5652,1282,272,22,109,16,25,1287,739,347,463
MSTRG.76.1,126,2,34,27,0,0,0,15,13,29,13,78
MSTRG.78.1,8526,96,103,4100,2255,2520,8334,4501,6781,6836,4909,6524
MSTRG.79.1,441,3,103,102,425,261,65,528,739,302,838,519
MSTRG.80.1,163,4,1071,197,74,0,975,112,453,228,338,613
MSTRG.81.1,537,174,781,1098,639,253,168,46,704,445,5,365
MSTRG.83.1,4315,1085,1637,2105,789,985,2906,1612,4420,3377,2035,2655
MSTRG.84.1,488,424,0,42,0,599,201,93,110,934,802,432
MSTRG.90.1,960,545,2489,559,267,69,1759,422,895,787,1271,1644
MSTRG.91.1,235,15,0,298,131,76,0,181,136,67,452,1259
MSTRG.92.1,634,0,133,670,69,0,2,3,686,645,0,55
MSTRG.94.1,1694,1498,0,1017,1259,876,3224,1810,1259,2091,1114,2426
MSTRG.96.1,129,0,0,279,0,39,1559,49,506,647,510,133
MSTRG.97.1,679,608,0,1041,125,195,0,669,1057,546,1603,1965
MSTRG.109.1,0,0,0,0,0,0,0,19,0,0,11,44
MSTRG.112.1,0,0,0,272,0,0,0,0,0,0,0,0
MSTRG.98.1,1125,2726,156,1060,2419,1271,1952,1673,2630,2568,727,4790
MSTRG.99.1,98,0,0,609,96,0,686,152,350,101,18,162
MSTRG.100.1,976,29,20,560,190,117,4,352,650,448,924,1344
MSTRG.102.1,5180,21971,3815,13012,8973,14628,24841,14117,11668,6409,25837,25945
MSTRG.101.1,2,0,0,58,0,0,0,152,0,0,0,0
MSTRG.103.1,1188,1370,540,177,9,377,932,204,1191,1874,339,631
MSTRG.104.1,210,0,3,104,37,78,0,31,104,221,312,166
MSTRG.105.1,2167,899,695,1913,61,456,508,311,1240,870,256,381
MSTRG.106.1,52,2,0,11,0,1,0,124,84,43,96,118
MSTRG.107.1,11,7,3,34,226,724,515,746,173,186,492,2469
MSTRG.108.1,203,0,0,52,18,333,138,92,241,439,254,535
MSTRG.111.1,309,0,0,44,523,242,919,500,286,219,1170,2008
MSTRG.110.1,426,0,0,137,61,58,0,111,315,260,426,267
MSTRG.122.1,185,0,0,306,0,0,13,34,84,185,183,553
MSTRG.123.1,10,35,0,93,0,0,0,36,128,327,5,20
MSTRG.114.1,0,0,0,0,0,0,0,180,0,0,0,205
MSTRG.117.1,0,0,0,68,0,0,0,0,0,0,0,2
MSTRG.121.1,0,0,0,0,0,0,0,0,0,14,0,0
MSTRG.113.1,575,833,54,1249,82,346,1967,790,1076,986,949,741
MSTRG.115.1,403,42,27,447,2436,9,966,531,613,861,115,1086
MSTRG.116.1,103,1,0,108,0,0,5,20,110,32,84,600
MSTRG.118.1,952,7,120,1241,264,823,1932,1128,1953,1699,1080,1372
MSTRG.119.1,1725,813,755,2694,168,18,3,173,1687,1761,192,442
MSTRG.120.1,325,2,0,102,42,0,11,105,26,390,712,263
MSTRG.124.1,1474,1381,2,265,417,1313,1993,406,1301,1036,407,509
MSTRG.125.1,1367,2815,105,1208,1214,44,43,418,910,473,504,1245
MSTRG.137.1,334,0,0,0,0,0,0,4,0,424,180,87
MSTRG.127.1,0,0,0,219,0,0,0,0,0,0,0,0
MSTRG.130.1,0,0,0,101,0,0,0,0,0,0,0,0
MSTRG.131.1,0,0,0,0,0,0,0,0,0,0,0,22
MSTRG.126.1,1484,302,241,1245,1034,1744,1654,1171,1427,2573,1086,2532
MSTRG.128.1,456,13,49,137,325,214,0,472,202,386,651,704
MSTRG.129.1,76,0,0,140,0,0,0,72,25,187,5,87
MSTRG.132.1,29,0,0,128,55,157,1356,76,147,314,269,397
MSTRG.133.1,1216,331,1187,427,386,221,2975,1090,598,491,2742,1962
MSTRG.134.1,14,0,0,207,0,0,2,62,122,0,239,470
MSTRG.135.1,3548,9702,3318,4091,2641,5000,7310,3421,3399,5641,8651,8586
MSTRG.140.1,112,1419,18,345,162,16,627,430,408,109,128,774
MSTRG.139.1,766,19,0,589,1109,189,2949,530,1155,1147,699,1444
MSTRG.142.1,554,0,0,154,521,4,2687,128,615,428,155,644
MSTRG.146.1,575,2,16,516,370,313,2,413,1157,1048,415,1134
MSTRG.147.1,78,0,0,5,1384,9,0,166,28,130,203,88
MSTRG.148.1,926,148,105,507,13,186,14,141,809,695,842,411
MSTRG.149.1,220,191,0,183,510,96,1887,117,71,467,275,619
MSTRG.150.1,632,0,162,408,6,38,0,0,280,6,3,85
MSTRG.152.1,562,280,106,776,39,17,25,922,2345,1701,929,2332
MSTRG.153.1,329,455,2,367,0,5,0,272,405,372,122,181
MSTRG.154.1,172,1,0,349,3,0,879,335,183,494,130,184
MSTRG.155.1,621,0,23,120,2,289,145,32,517,215,101,316
MSTRG.156.1,978,791,23,514,243,1182,2037,714,539,973,63,827
MSTRG.157.1,868,199,3,378,108,56,336,614,529,640,1156,788
MSTRG.158.1,1028,403,173,1199,0,0,309,4,1329,761,803,499
MSTRG.160.1,91,0,0,555,0,2,0,5,26,715,0,40
MSTRG.161.1,720,0,40,542,57,727,91,697,1285,858,1144,784
MSTRG.162.1,19,6,264,20,87,28,7,44,381,33,119,417
MSTRG.163.1,41,86,21,185,84,29,25,222,269,213,225,21
MSTRG.180.1,3,0,0,92,479,0,0,0,126,0,0,3
MSTRG.179.1,652,525,0,671,695,455,69,1172,398,402,1356,1451
MSTRG.173.1,0,34,0,2,146,0,0,0,7,8,1,36
MSTRG.174.1,0,0,0,0,0,0,0,0,2,0,0,43
MSTRG.177.1,0,0,0,0,0,0,0,0,0,0,0,35
MSTRG.164.1,866,1363,104,432,666,210,11,86,810,1599,409,978
MSTRG.165.1,11898,12077,4416,18466,6808,5551,8114,15512,17106,23163,11163,45070
MSTRG.166.1,6969,9689,1209,4984,1734,1073,365,1232,7139,10888,2138,3804
MSTRG.167.1,40,4,0,64,1269,291,2,357,161,171,1054,812
MSTRG.168.1,10259,18117,7975,14257,6065,2330,3917,4333,8804,12443,2820,10782
MSTRG.169.1,469,0,0,231,0,0,0,0,0,695,0,647
MSTRG.170.1,1273,1775,61,658,233,199,818,1182,1090,2160,687,1613
MSTRG.171.1,13,1,0,51,0,0,0,48,2,0,0,21
MSTRG.172.1,129,0,0,29,0,29,0,0,151,158,0,67
MSTRG.175.1,550,3,0,525,547,2,237,233,158,213,390,659
MSTRG.176.1,1457,2086,2876,938,0,0,6,68,1788,1815,10,108
MSTRG.178.1,35501,11498,5749,15019,2700,4925,8254,6093,25847,24544,7676,9496
MSTRG.182.1,7401,1428,164,3136,264,1550,3294,2115,8193,3837,4253,2975
MSTRG.185.1,9,0,0,0,0,0,0,9,0,161,0,0
MSTRG.184.1,387,167,0,294,0,42,135,95,641,430,153,727
MSTRG.187.1,470,100,0,147,164,266,88,14,22,348,51,411
MSTRG.190.1,500,3,56,825,4,20,0,90,370,1037,4,253
MSTRG.192.1,743,778,2,451,632,703,2665,290,1211,702,449,764
MSTRG.193.1,54,0,0,32,0,20,0,37,0,0,0,187
MSTRG.194.1,6975,3520,243,1587,12361,7217,8644,12133,3167,6248,10720,42242
MSTRG.196.1,0,26,5,112,1013,2490,1249,2803,0,62,3971,6654
MSTRG.197.1,73,3,0,134,599,83,1123,754,0,0,429,1016
MSTRG.195.1,4829,231,94,604,18705,11067,20670,13722,2684,2694,21011,51183
MSTRG.198.1,6590,32631,3444,14279,6824,2868,2906,6059,9096,16266,2856,13574
MSTRG.199.1,4891,4570,885,2456,1810,1365,5911,3857,6670,7550,3192,4297
MSTRG.201.1,5933,904,399,1142,10006,14997,21603,10358,3959,5143,10303,21448
MSTRG.203.1,0,0,0,0,0,0,0,86,0,0,0,0
MSTRG.202.1,20,0,0,16,10,41,5,24,170,0,169,322
MSTRG.204.1,362,19,192,419,2,409,0,144,407,274,79,550
MSTRG.205.1,103,0,0,0,0,0,0,0,183,0,0,2
MSTRG.206.1,472,682,73,788,100,0,23,46,577,757,796,892
MSTRG.207.1,2,0,0,0,318,0,0,97,4,46,18,196
MSTRG.209.1,74,0,0,153,340,0,0,34,151,241,159,828
MSTRG.210.1,238,0,0,32,11,125,1286,28,405,63,62,289
MSTRG.213.1,0,0,0,0,0,0,0,0,0,0,0,53
MSTRG.214.1,0,0,0,0,62,78,2,36,0,0,204,256
MSTRG.212.1,418,152,26,505,635,97,4784,219,545,1527,199,927
MSTRG.215.1,129,0,0,3,704,901,31,133,106,8,377,116
MSTRG.217.1,15,0,0,0,272,622,957,676,217,77,1377,1115
MSTRG.221.1,816,0,2,146,0,145,277,529,399,659,752,1344
MSTRG.223.1,147,420,3,251,9,0,0,22,61,110,17,200
MSTRG.222.2,0,0,0,0,0,0,0,0,0,0,2991,0
MSTRG.218.1,827,2255,84,1383,1499,263,372,1195,1237,2974,845,1698
MSTRG.219.1,67,0,0,4,0,0,2,120,0,86,2,160
MSTRG.220.1,103,0,14,30,1,21,565,17,0,122,53,243
MSTRG.222.1,9448,3614,3427,7790,6381,8464,23040,5182,8105,11448,1338,10555
MSTRG.224.1,209,0,269,83,87,284,249,366,749,1000,1011,1152
MSTRG.227.1,177,0,0,26,0,0,0,86,182,0,0,67
MSTRG.228.1,2043,1026,2,1166,283,686,152,408,1051,1548,1315,1013
MSTRG.229.1,335,142,0,575,257,34,47,108,748,821,686,802
MSTRG.231.1,441,33,0,430,467,35,0,16,1125,1087,227,334
MSTRG.233.1,26,46,812,446,557,10,0,361,264,385,286,1015
MSTRG.232.1,3100,3048,185,2151,456,436,862,2006,2950,3735,2947,8078
MSTRG.243.1,665,0,151,1362,7,21,61,483,926,1305,330,923
MSTRG.245.1,58,0,0,28,4,3,863,244,2,4,191,169
MSTRG.237.1,0,0,0,0,0,0,0,0,0,0,0,20
MSTRG.234.1,1368,1136,0,370,194,100,732,744,999,1427,363,1062
MSTRG.235.1,301,93,52,507,109,94,17,111,986,140,13,115
MSTRG.236.1,300,0,0,779,480,0,0,453,64,303,149,840
MSTRG.238.1,3572,13094,4640,5564,8818,3875,2967,9419,7111,9617,7736,19495
MSTRG.239.1,2482,326,53,2002,167,3071,2858,1890,3355,2819,1960,2352
MSTRG.240.1,450,2478,41,235,206,524,20,118,963,598,854,553
MSTRG.241.1,1512,6306,761,2102,1209,846,1412,2117,3187,1614,2470,3212
MSTRG.242.1,54,0,0,89,43,219,0,371,57,648,149,724
MSTRG.246.1,603,48,89,169,248,182,278,186,507,496,545,905
MSTRG.248.1,13,0,0,0,1037,2,0,74,6,35,48,427
MSTRG.247.1,253,24,0,420,3,0,848,120,53,263,17,217
MSTRG.249.1,302,937,0,322,373,0,2,25,407,790,311,554
MSTRG.250.1,56,10,0,41,0,0,0,47,56,159,37,286
MSTRG.251.1,74,0,0,0,0,0,0,0,194,43,0,0
MSTRG.252.1,77,0,22,65,0,0,0,3,3,180,291,51
MSTRG.253.1,54,2459,2,32,3465,86,2,182,939,45,1142,1746
MSTRG.254.1,34,787,0,36,0,0,2,0,0,278,0,41
MSTRG.255.1,81,0,0,610,111,2,0,14,18,270,675,704
MSTRG.256.1,20,176,4,0,350,311,388,217,5,2,637,818
MSTRG.259.1,78,0,0,63,29,361,99,51,232,26,335,575
MSTRG.261.1,2,0,123,65,679,51,32,11,170,79,74,101
MSTRG.260.1,1179,4048,1466,551,463,515,80,302,1004,1330,1475,1152
MSTRG.262.1,92,0,0,192,0,0,0,4,240,268,45,55
MSTRG.263.1,19,0,0,8,0,0,13,0,3,0,9,18
MSTRG.265.1,1731,7559,0,1980,1215,0,4650,850,1352,2515,1412,3402
MSTRG.278.1,5,0,0,94,0,0,0,0,56,2,1,21
MSTRG.279.1,350,124,163,1293,73,683,0,915,770,999,806,826
MSTRG.280.1,69,0,0,0,539,0,0,47,0,0,0,124
MSTRG.268.1,0,0,0,0,0,0,0,0,0,146,0,0
MSTRG.270.1,0,30,1,25,8,0,0,5,7,110,0,12
MSTRG.272.1,0,0,0,102,0,0,0,0,0,151,0,37
MSTRG.266.1,451,3748,1333,789,58,254,1514,201,565,855,500,973
MSTRG.267.1,65,21,28,360,5,2,3,67,34,406,4,300
MSTRG.269.1,7,168,239,281,0,0,0,10,457,34,0,0
MSTRG.271.1,144,0,2,58,0,0,0,0,43,367,0,188
MSTRG.273.1,560,1143,0,1238,634,77,62,458,293,1211,476,1555
MSTRG.274.1,1597,17,87,454,4,1,0,1275,447,1212,459,318
MSTRG.275.1,540,9,125,251,368,0,0,538,249,583,1162,433
MSTRG.276.1,1051,1961,20,1219,1195,471,249,578,94,2706,532,3907
MSTRG.277.1,97,15,0,33,0,49,0,2,311,145,17,327
MSTRG.281.1,2374,890,1370,1515,1659,1623,3057,1462,2057,2509,2494,3678
MSTRG.282.1,330,0,0,0,0,0,0,0,2,0,0,52
MSTRG.283.1,380,258,262,377,429,201,52,533,949,847,1031,1367
MSTRG.284.1,33,84,0,11,3,7,0,2,30,147,12,395
MSTRG.285.1,347,50,0,606,135,7,186,185,393,616,521,546
MSTRG.288.1,7,0,57,0,9,0,0,0,0,0,12,55
MSTRG.287.1,307,73,0,337,41,38,48,366,583,952,371,1720
MSTRG.286.1,3078,3525,2610,1920,631,767,993,1456,3789,2968,2122,2714
MSTRG.290.1,36,0,0,40,0,0,0,0,278,35,0,45
MSTRG.291.1,2,0,0,0,0,0,0,240,6,121,7,88
MSTRG.289.1,6694,4433,1078,5726,1532,1243,1056,2477,6322,4117,6117,6912
MSTRG.293.1,1407,5,1387,299,625,1351,166,597,392,210,206,1193
MSTRG.294.1,449,45,1074,220,662,86,92,422,242,296,841,655
MSTRG.295.1,152,2,0,198,17,27,0,36,20,184,367,124
MSTRG.297.1,35,215,0,110,24,27,0,40,57,4,44,139
MSTRG.299.1,0,0,0,0,0,0,0,0,0,0,0,43
MSTRG.301.1,0,0,0,46,0,0,0,0,3,0,0,7
MSTRG.305.1,0,0,0,0,0,0,0,0,0,0,0,23
MSTRG.298.1,730,1583,3,30,547,143,3,14,349,639,524,752
MSTRG.300.1,809,90,109,1137,119,388,0,337,866,1621,423,1181
MSTRG.302.1,5,0,0,17,0,0,0,0,43,0,0,37
MSTRG.303.1,188,0,0,259,246,53,0,332,224,165,51,429
MSTRG.304.1,3953,9702,5,2388,720,1428,503,3973,7945,8879,4994,7413
MSTRG.307.1,128,22,0,727,12,0,0,99,408,608,221,300
MSTRG.306.1,4913,5006,185,3913,1831,2989,4677,3869,4857,7150,2241,5403
MSTRG.308.1,451,0,0,0,0,0,0,0,53,43,37,152
MSTRG.309.1,298,40,375,139,74,124,2218,534,236,427,523,682
MSTRG.310.1,631,0,2,173,203,0,0,25,80,459,261,782
MSTRG.311.1,49,0,0,0,0,0,0,0,0,0,0,0
MSTRG.313.1,1032,0,2485,1865,759,751,896,977,1609,946,2621,2981
MSTRG.314.1,2061,4,1396,977,783,668,2147,791,1999,1386,2399,2386
MSTRG.315.1,576,283,0,143,0,0,0,67,167,323,6,173
MSTRG.317.1,569,0,49,1346,451,636,15,562,438,671,1469,1797
MSTRG.318.1,147,133,42,86,13,0,3,3,206,114,33,282
MSTRG.321.1,11,130,0,10,0,2,0,106,77,27,19,233
MSTRG.323.1,102,0,0,492,817,0,0,287,72,473,0,310
MSTRG.322.1,1604,11487,0,818,117,133,0,137,859,185,87,323
MSTRG.331.1,0,0,0,0,0,0,0,0,0,0,0,8
MSTRG.331.2,6,0,0,57,0,0,0,90,592,113,4,64
MSTRG.332.1,340,9805,3087,6073,348,8,258,2830,951,2101,1818,8722
MSTRG.328.1,0,0,0,4,0,0,0,86,0,7,2,43
MSTRG.329.1,0,0,0,3,0,0,0,0,0,2,0,27
MSTRG.324.1,31,0,0,71,50,100,2,540,268,200,231,510
MSTRG.325.1,663,186,335,457,183,90,24,270,653,300,303,368
MSTRG.326.1,63,925,4,117,0,36,0,141,373,298,0,20
MSTRG.327.1,243,0,0,111,9,0,3,4,13,4,0,224
MSTRG.330.1,13907,17979,6266,17304,8503,11979,11577,14592,20170,26665,9166,30148
MSTRG.339.1,13,0,0,30,0,0,0,75,88,11,0,191
MSTRG.340.1,322,18,126,412,16,399,0,4,403,605,0,346
MSTRG.341.1,12,0,530,6,0,104,0,22,0,153,0,115
MSTRG.343.1,15,47,52,222,24,380,0,441,271,18,99,697
MSTRG.335.1,0,0,0,3,6,0,0,0,24,0,0,1
MSTRG.333.1,955,20,745,327,825,0,0,37,89,204,199,293
MSTRG.334.1,242,386,0,634,5,0,24,308,294,587,124,359
MSTRG.336.1,1994,872,238,1476,290,10,0,109,1789,2325,1071,1056
MSTRG.337.1,770,733,327,695,2735,496,1603,2330,2199,3283,1025,5868
MSTRG.338.1,3,0,0,1,4,0,4,6,1,8,6,96
MSTRG.345.1,711,0,517,643,512,0,0,1848,944,3190,513,2734
MSTRG.346.1,83,11,0,228,59,161,0,189,61,556,0,701
MSTRG.347.1,7658,5602,3554,3200,327,548,81,440,10379,9199,996,1415
MSTRG.349.1,343,879,65,463,900,33,16,435,1021,1438,679,1468
MSTRG.350.1,57,0,0,342,0,0,796,376,44,119,61,271
MSTRG.353.1,25,0,0,0,0,0,0,0,0,15,0,51
MSTRG.352.1,13,0,0,0,0,30,0,101,2,2,68,180
MSTRG.367.1,31,0,0,564,1293,0,0,271,754,826,312,528
MSTRG.361.1,0,0,0,0,9,0,0,0,0,0,0,0
MSTRG.362.1,0,0,0,0,3,0,0,0,0,0,0,177
MSTRG.354.1,221,25,0,422,12,74,2364,162,281,1093,141,705
MSTRG.355.1,89,0,0,95,12,0,0,0,13,169,2,56
MSTRG.356.1,792,1415,580,384,229,563,127,712,255,502,348,1561
MSTRG.357.1,484,33,0,420,36,152,2,450,450,306,487,800
MSTRG.358.1,289,0,0,134,3,22,0,191,40,175,129,254
MSTRG.359.1,333,3155,862,646,704,24,459,354,1541,1037,544,1530
MSTRG.360.1,120,1691,1,245,2355,958,1964,1311,699,286,2546,4841
MSTRG.363.1,240,0,0,22,5,0,2,0,223,56,13,0
MSTRG.364.1,698,5,4,20,652,329,2932,1462,51,336,392,4221
MSTRG.365.1,827,616,205,797,656,817,2340,590,465,1195,1304,2708
MSTRG.366.1,845,1153,505,1625,676,382,1684,1119,2466,1792,796,1400
MSTRG.368.1,1266,797,140,2222,302,308,1874,922,756,1729,1269,4198
MSTRG.369.1,209,0,0,0,0,250,0,0,0,0,0,12
MSTRG.370.1,178,0,0,112,65,1162,0,298,372,114,176,945
MSTRG.371.1,767,3698,627,1322,30,125,0,162,1206,1409,274,541
MSTRG.373.1,167,2,2,427,4,417,167,743,178,582,467,693
MSTRG.374.1,532,2234,2,127,241,132,26,281,731,190,599,726
MSTRG.375.1,475,0,2,317,0,136,0,243,618,529,658,423
MSTRG.377.1,749,14,0,1217,143,254,79,1601,2054,1805,1324,3189
MSTRG.380.1,1657,862,27,2232,429,1164,4027,2944,2230,2285,4282,4843
MSTRG.381.1,12453,12667,1644,11448,4196,3015,10470,6090,12289,12614,8386,8179
MSTRG.382.1,200,0,0,343,0,0,0,0,0,0,0,145
MSTRG.383.1,77,0,0,6,0,63,0,4,72,84,67,39
MSTRG.386.1,18,0,0,0,18,161,145,14,0,110,63,346
MSTRG.387.1,34,0,0,0,797,125,27,514,68,15,620,1083
MSTRG.388.1,179,3197,25,153,233,2,3,7,25,263,0,229
MSTRG.390.1,3138,1529,283,2342,347,298,7,452,2109,4162,770,2193
MSTRG.393.1,3055,3729,446,2174,566,1229,1010,2106,1793,3649,1403,4138
MSTRG.395.1,622,3742,1373,1527,281,1547,2038,1762,1774,1789,1180,4017
MSTRG.397.1,314,1,0,150,405,155,125,120,489,209,282,285
MSTRG.398.1,3049,5010,4218,7447,774,2620,1148,3921,5879,8250,4310,9562
MSTRG.399.1,251,6,0,471,40,27,1,0,166,30,32,478
MSTRG.401.1,2020,0,0,672,0,246,312,44,1380,954,52,548
MSTRG.403.1,916,40,300,1127,8,10,28,491,971,1687,359,878
MSTRG.406.1,2654,6083,303,1584,1398,2022,3476,3218,4514,2954,6178,3826
MSTRG.407.1,484,0,415,200,58,0,5,164,212,327,52,297
MSTRG.411.1,8,0,0,0,0,0,625,0,0,0,22,28
MSTRG.412.1,51,4,2,366,370,612,857,274,116,223,509,910
MSTRG.409.1,510,0,0,442,490,300,1241,673,610,277,169,475
MSTRG.423.1,209,1272,317,1294,263,1215,382,891,521,2,1380,2047
MSTRG.424.1,7,0,0,3,0,0,0,11,10,0,40,105
MSTRG.426.1,129,168,2,154,303,11,761,117,180,0,103,459
MSTRG.428.1,82,0,0,0,0,51,41,162,112,36,507,274
MSTRG.429.1,127,34,5,260,1067,378,1799,3527,20,186,2902,13833
MSTRG.420.1,0,0,0,4,0,0,0,0,0,0,0,35
MSTRG.413.1,421,185,0,326,15,99,0,252,408,312,443,432
MSTRG.414.1,27,0,0,110,40,102,0,352,91,333,228,420
MSTRG.415.1,711,101,0,129,592,533,112,44,321,410,773,462
MSTRG.416.1,192,0,536,556,0,7,0,713,556,1177,318,1087
MSTRG.418.1,519,0,0,248,28,0,2198,152,811,203,140,501
MSTRG.417.1,54,0,0,27,0,20,0,0,0,21,0,24
MSTRG.419.1,2,3176,2,117,0,0,3,9,346,59,0,12
MSTRG.421.1,12,0,0,0,0,0,0,0,194,5,3,108
MSTRG.422.1,1550,100,0,607,790,584,3941,2077,492,1098,683,3591
MSTRG.430.1,2108,303,3689,2536,405,606,1253,1246,1881,3253,2286,1934
MSTRG.431.1,160,0,0,74,110,0,0,0,21,190,0,209
MSTRG.433.1,78,0,0,275,240,14,1048,120,97,522,330,1054
MSTRG.432.1,3599,3507,0,2860,0,1668,3392,1340,3000,1867,1452,1679
MSTRG.436.1,0,0,0,0,48,76,1265,103,0,14,150,336
MSTRG.434.1,618,862,248,516,149,125,588,719,513,1364,328,1971
MSTRG.435.1,627,68,136,869,77,16,323,701,659,1226,60,352
MSTRG.437.1,6,0,0,0,115,123,0,194,290,317,59,104
MSTRG.437.2,169,175,0,94,0,6,2,92,427,106,98,114
MSTRG.438.1,258,87,0,269,767,2,16,791,852,552,62,441
MSTRG.439.1,9,44,0,469,82,349,0,332,14,328,62,364
MSTRG.440.1,144,423,0,41,0,0,135,0,41,155,10,48
MSTRG.441.1,5685,6032,495,4048,2762,2448,7577,3833,4602,6397,3757,5935
MSTRG.442.1,484,0,235,466,102,23,38,4,228,767,38,142
MSTRG.443.1,593,24,0,382,68,97,5,183,833,319,217,597
MSTRG.455.1,172,2176,0,139,8,10,0,30,37,50,252,527
